web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669963-1016,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"Avatar: The Last Airbender: North and South
        (Avatar: The Last Airbender, #5)","Yang, Gene Luen","Dec 24, 2019"
1614669975-1060,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"The Heir
        (The Selection, #4)","Cass, Kiera","Jan 18, 2019"
1614669975-1052,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars","Holt, Nathalia","Mar 14, 2019"
1614669956-1002,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,The Theory Of Everything,"Hawking, Stephen","Apr 04, 2020"
1614669970-1040,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,The Uninhabitable Earth: Life After Warming,"Wallace-Wells, David","Jun 20, 2019"
1614669975-1055,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,The Help,"Stockett, Kathryn","Feb 24, 2019"
1614669975-1064,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"The One
        (The Selection, #3)","Cass, Kiera","Dec 15, 2018"
1614669990-1108,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=7&per_page=20&shelf=read&utf8=%E2%9C%93,Life of Pi,"Martel, Yann",null
1614669981-1080,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=5&per_page=20&shelf=read&utf8=%E2%9C%93,"Morrighan
        (The Remnant Chronicles, #0.5)","Pearson, Mary E.","Jul 11, 2018"
1614669975-1049,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,A Life Less Throwaway: The Lost Art of Buying for Life,"Button, Tara","Apr 06, 2019"
